items,freq
['85123A'],2179
['85099B'],2075
['22423'],1966
['47566'],1670
['20725'],1564
['84879'],1453
['22720'],1376
['22197'],1369
['21212'],1320
['22383'],1283
['20727'],1271
['22457'],1248
['23203'],1230
['22386'],1216
['22469'],1197
['21931'],1184
['22411'],1174
['22382'],1157
['22086'],1153
['22961'],1152
['20728'],1149
['23298'],1142
['22960'],1130
['22666'],1109
['82482'],1098
['23209'],1096
['22384'],1089
['22993'],1071
['22699'],1062
['POST'],1050
['22727'],1050
['23206'],1035
['20724'],1032
['22178'],1029
['20726'],1014
['22697'],1013
['21080'],984
['23199'],977
['22726'],975
['23084'],965
['22139'],960
['22077'],955
['22138'],930
['85099C'],927
['21790'],924
['22470'],923
['23301'],912
['82494L'],908
['23201'],904
['22629'],900
