j,i,pair_cnt,cnt_i,cnt_j,support,conf_i_to_j,conf_j_to_i,lift,i_desc,j_desc
22699,22697,767,1013,1062,0.04186909765816912,0.7571569595261599,0.7222222222222222,13.060601074914995,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER 
85099B,22386,683,1216,2075,0.037283694524810305,0.5616776315789473,0.3291566265060241,4.958733750792645,JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT
85099B,21931,617,1184,2075,0.03368087777717124,0.5211148648648649,0.29734939759036144,4.600628052751547,JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT
20727,20725,615,1564,1271,0.033571701512091275,0.3932225063938619,0.4838709677419355,5.667539806946622,LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.
85099B,23203,577,1230,2075,0.03149735247557181,0.4691056910569106,0.2780722891566265,4.141468508179057,JUMBO BAG DOILEY PATTERNS,JUMBO BAG RED RETROSPOT
22698,22697,563,1013,760,0.03073311862001201,0.5557749259624877,0.7407894736842106,13.39636956408791,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER
20728,20725,555,1564,1149,0.030296413559692124,0.35485933503836314,0.4830287206266319,5.6576746375698646,LUNCH BAG RED RETROSPOT,LUNCH BAG CARS BLUE
85099C,85099B,547,2075,927,0.029859708499372237,0.2636144578313253,0.5900755124056095,5.209442559883547,JUMBO BAG RED RETROSPOT,JUMBO  BAG BAROQUE BLACK WHITE
85099B,20725,546,1564,2075,0.02980512036683225,0.3491048593350384,0.26313253012048193,3.0820491171848516,LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT
22382,20725,535,1564,1157,0.029204650908892408,0.3420716112531969,0.46240276577355227,5.416084569185233,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN 
22411,21931,523,1184,1174,0.028549593318412576,0.44172297297297297,0.4454855195911414,6.892609149822736,JUMBO STORAGE BAG SUKI,JUMBO SHOPPER VINTAGE RED PAISLEY
85099B,21929,518,865,2075,0.028276652655712647,0.5988439306358382,0.24963855421686748,5.286853959189359,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT
22386,21931,515,1184,1216,0.028112888258092692,0.43496621621621623,0.42351973684210525,6.552751739198079,JUMBO STORAGE BAG SUKI,JUMBO BAG PINK POLKADOT
23301,23300,508,757,912,0.02773077133031279,0.6710700132100397,0.5570175438596491,13.479530232450346,GARDENERS KNEELING PAD CUP OF TEA ,GARDENERS KNEELING PAD KEEP CALM 
22469,22470,492,923,1197,0.026857361209673018,0.5330444203683641,0.41102756892230574,8.157761684818764,HEART OF WICKER LARGE,HEART OF WICKER SMALL
20724,20723,485,722,1032,0.026475244281893115,0.6717451523545707,0.4699612403100775,11.924127370138935,STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG
85099B,23199,485,977,2075,0.026475244281893115,0.49641760491299897,0.23373493975903614,4.3825899298319175,JUMBO BAG APPLES,JUMBO BAG RED RETROSPOT
85099B,20712,477,862,2075,0.02603853922157323,0.5533642691415314,0.22987951807228915,4.885339781399379,JUMBO BAG WOODLAND ANIMALS,JUMBO BAG RED RETROSPOT
20728,22383,475,1283,1149,0.025929362956493257,0.37022603273577553,0.4134029590948651,5.902672492329566,LUNCH BAG SUKI  DESIGN ,LUNCH BAG CARS BLUE
22728,22727,470,1050,783,0.025656422293793328,0.44761904761904764,0.6002554278416348,10.472456364410386,ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE PINK
